imdb_title_id,genre
tt0018037,"Drama, Music, Musical"
tt0018045,"Drama, Fantasy, War"
tt0018051,"Comedy, Drama, Family"
tt0018054,"Biography, Drama, History"
tt0018066,Drama
tt0018087,"Drama, Romance"
tt0018097,Horror
tt0018102,Comedy
tt0018107,"Drama, Romance"
tt0018113,Drama
tt0018138,Drama
tt0018166,"Drama, Romance"
tt0018179,"Drama, Romance"
tt0018183,"Comedy, Romance"
tt0018192,"Biography, Drama, History"
tt0018217,"Drama, History"
tt0018218,"Drama, History, Romance"
tt0018235,"Comedy, Romance"
tt0018247,"Comedy, Romance"
tt0018253,"Drama, Romance, Sport"
tt0018268,Comedy
tt0018297,"Comedy, Drama, Romance"
tt0018311,"Comedy, Romance"
tt0018328,"Drama, Romance, Sport"
tt0018351,Comedy
tt0018362,"Crime, Drama, Romance"
tt0018379,"Drama, Romance"
tt0018389,Drama
tt0018392,"Drama, Romance"
tt0018397,"Crime, Drama"
tt0018413,"Comedy, Sport"
tt0018440,Comedy
tt0018451,"Drama, Romance"
tt0018453,Thriller
tt0018455,"Drama, Romance"
tt0018464,"Action, Adventure"
tt0018471,"Comedy, Drama, Romance"
tt0018484,"Comedy, Drama"
tt0018487,"Comedy, Drama"
tt0018505,"Comedy, Drama"
tt0018513,Drama
tt0018515,"Adventure, Comedy, Romance"
tt0018523,Comedy
tt0018524,"Drama, History"
tt0018526,"Crime, Drama, Film-Noir"
tt0018528,"Drama, Horror, Romance"
tt0018530,"Comedy, Drama"
tt0018566,"History, Romance"
tt0018578,"Drama, Romance, War"
tt0018579,"Drama, History, War"
tt0018588,Drama
tt0018600,"Drama, Romance"
tt0018615,"Drama, Romance"
tt0018618,"Drama, Romance"
tt0018678,Comedy
tt0018684,"Adventure, Drama"
tt0018722,Comedy
tt0018737,"Crime, Drama, Romance"
tt0018742,"Comedy, Drama, Family"
tt0018749,"Comedy, Romance"
tt0018756,Comedy
tt0018770,Horror
tt0018773,"Comedy, Romance"
tt0018795,Drama
tt0018826,Comedy
tt0018836,"Drama, Romance"
tt0018839,"Crime, Drama, Film-Noir"
tt0018841,Comedy
tt0018862,"Drama, Romance, War"
tt0018876,"Comedy, Drama, Romance"
tt0018879,"Drama, Romance"
tt0018882,Comedy
tt0018907,Drama
tt0018908,"Adventure, Drama, Romance"
tt0018909,"Drama, War"
tt0018910,Drama
tt0018927,"Comedy, Drama"
tt0018935,Drama
