imdb_title_id,title,year,usa_gross_income
tt0018014,Hotel Imperial,1927,
tt0018016,Hula,1927,436342
tt0018033,Cosetta,1927,411891
tt0018037,Il cantante di jazz,1927,
tt0018045,Le joueur d'échecs,1927,
tt0018051,Il fratello minore,1927,1553522
tt0018054,Il re dei re,1927,
tt0018066,La fine di San Pietroburgo,1927,
tt0018087,Il Giglio nelle tenebre,1927,
tt0018097,Il fantasma del castello,1927,
tt0018102,Le sue ultime mutandine,1927,
tt0018107,Anna Karenina,1927,
tt0018113,The Love of Sunya,1927,502086
tt0018138,"Man, Woman and Sin",1927,
tt0018166,Mockery,1927,
tt0018179,Mr. Wu,1927,
tt0018183,My Best Girl,1927,
tt0018192,Napoleone,1927,
tt0018217,Ottobre!,1927,
tt0018218,Il re del sottosuolo,1927,
tt0018235,Il mio cuore aveva ragione,1927,
tt0018247,Passione di principe,1927,
tt0018253,Ferro e fuoco,1927,
tt0018268,Potseluy Meri Pikford,1927,
tt0018297,Quality Street,1927,
tt0018311,The Red Mill,1927,
tt0018328,Vinci per me!,1927,
tt0018351,Running Wild,1927,
tt0018362,The Scar of Shame,1927,
tt0018379,Settimo cielo,1927,
tt0018389,A Ship Comes In,1928,
tt0018392,Shooting Stars,1928,
tt0018397,The Show,1927,395825
tt0018413,"Slide, Kelly, Slide",1927,
tt0018440,Spring Fever,1927,405000
tt0018451,Il principe studente,1927,
tt0018453,Sumka dipkuryera,1927,
tt0018455,Aurora,1927,
tt0018464,Tarzan and the Golden Lion,1927,
tt0018471,Tell It to the Marines,1926,
tt0018484,Three's a Crowd,1927,
tt0018487,Tillie the Toiler,1927,
tt0018505,Tretya meshchanskaya,1927,
tt0018513,Twelve Miles Out,1927,449700
tt0018515,Notte d'Arabia,1927,509718
tt0018523,Un cappello di paglia di Firenze,1928,
tt0018524,Uncle Tom's Cabin,1927,
tt0018526,Le notti di Chicago,1927,1642194
tt0018528,Lo sconosciuto,1927,
tt0018530,Controcorrente,1927,
tt0018566,When a Man Loves,1927,885699
tt0018578,Ali,1927,
tt0018579,Winners of the Wilderness,1927,
tt0018588,Enigma,1929,
tt0018600,Xi xiang ji,1927,
tt0018615,Crisi,1928,
tt0018618,Amore e mare,1928,
tt0018678,La battaglia dei sessi,1928,
tt0018684,I mendicanti della vita,1928,
tt0018722,Bringing Up Father,1928,
tt0018737,Il vaso di Pandora,1929,53485
tt0018742,Il cameraman,1928,
tt0018749,Il fidanzato di cartone,1928,
tt0018756,Tabarin di lusso,1928,
tt0018770,La caduta della casa Usher,1928,
tt0018773,Il circo,1928,
tt0018795,I cosacchi,1928,
tt0018826,I due timidi,1928,
tt0018836,La donna divina,1928,
tt0018839,I dannati dell'oceano,1928,
tt0018841,La casa sulla Trubnaja,1928,
tt0018862,Eliso,1928,
tt0018876,La moglie del fattore,1928,
tt0018879,Oasi dell'amore,1928,
tt0018882,Tastatemi il polso,1928,
tt0018907,I quattro diavoli,1928,
tt0018908,The Four Feathers,1929,
tt0018909,L'ultima gioia,1928,
tt0018910,Quattro mura,1928,
tt0018927,Eden palace,1928,
tt0018935,Sesso Incatenato,1928,
tt0018937,Capitan Barbablù,1928,
tt0018972,La casa del boia,1928,
tt0018990,Heimkehr,1928,
tt0018996,High Treason,1929,
tt0019043,Jûjiro,1928,
tt0019067,L'avventuriera,1928,
tt0019071,Crepuscolo di gloria,1928,
tt0019074,Ridi pagliaccio,1928,
tt0019096,Lights of New York,1928,
tt0019098,Le sette aquile,1928,
tt0019109,Primo amore,1928,
tt0019127,Maldone,1928,
tt0019130,L'uomo che ride,1928,
tt0019151,Il teatro di Minnie,1928,
tt0019152,The Mating Call,1928,
tt0019182,La canzone della mamma,1927,
tt0019186,Moulin Rouge,1928,
tt0019195,La donna misteriosa,1928,
tt0019237,Le nostre sorelle di danza,1928,
tt0019254,La passione di Giovanna d'Arco,1928,21877
tt0019258,Fascino biondo,1928,
tt0019286,Tempeste sull'Asia,1928,
tt0019290,Il potere della stampa,1928,
tt0019304,The Racket,1928,
tt0019312,La danzatrice rossa,1928,
tt0019325,Riley the Cop,1928,
tt0019335,Rose-Marie,1928,
tt0019344,Tristana e la maschera,1928,
tt0019374,Shiraz,1928,
tt0019379,Maschere di celluloide,1928,1100000
tt0019388,Il cantante pazzo,1928,10900000
tt0019400,The Smart Set,1928,
tt0019412,A rotta di collo,1928,
tt0019415,L'inafferrabile,1928,
tt0019421,Io... e il ciclone,1928,
tt0019429,L'angelo della strada,1928,
tt0019434,Femmine del mare,1928,
tt0019451,Nella tempesta,1928,
tt0019462,Quella certa cosa,1928,
tt0019480,Tire au flanc,1928,
tt0019489,The Trail of '98,1928,
tt0019509,Underground,1928,
tt0019532,I vichinghi,1928,
tt0019553,Nel gorgo del peccato,1927,859900
tt0019557,Il fiume stanco,1929,
tt0019558,Sinfonia nuziale,1928,
tt0019563,La serpe di Zanzibar,1928,
tt0019571,Mentre la città dorme,1928,
tt0019574,Ombre bianche,1928,
tt0019585,Il vento,1928,
tt0019591,Il destino,1928,
tt0019609,Il cadavere vivente,1929,
tt0019611,Zvenigora,1928,
tt0019629,La aldea maldita,1930,
tt0019630,Alibi,1929,
tt0019644,Applause,1929,
tt0019646,L'argent,1928,
tt0019649,Arsenale,1929,
tt0019655,Asfalto,1929,
tt0019658,Atlantic,1929,
tt0019684,Behind That Curtain,1929,
tt0019690,Big News,1929,
tt0019699,La guardia nera,1929,
tt0019702,Ricatto,1929,
tt0019725,Broadway,1929,
tt0019726,Ragazze d'America,1929,
tt0019729,La canzone di Broadway,1929,
tt0019735,Cercasi avventura,1929,
tt0019745,La Canarina Assassinata,1929,
tt0019746,Le capitaine Fracasse,1929,
tt0019777,The Cocoanuts,1929,
tt0019785,L'isola del diavolo,1929,
tt0019788,Coquette,1929,
tt0019796,Daigaku wa detakeredo,1929,
tt0019798,La danza della vita,1929,
tt0019800,Funamboli,1929,
tt0019811,Notti nel deserto,1929,
tt0019815,Il tenente di Napoleone,1929,
tt0019823,Disraeli,1929,
tt0019824,Trafalgar,1928,
tt0019839,The Duke Steps Out,1929,
tt0019843,Dinamite,1929,
